CLASS,VALUE
M           ,61800
F         ,42000
F         ,60000
M           ,60015
M           ,58200
M           ,45600
F         ,47400
M           ,44400
F         ,42000
M           ,42000
M           ,42000
M           ,49440
M           ,42000
F         ,42000
M           ,42000
F         ,56534.28
F         ,33600
M           ,43800
M           ,80000.04
F         ,42000
M           ,47400
M           ,53424
M           ,42000
F         ,57588
F         ,50400
F         ,48431.28
M           ,75600
F         ,46800
F         ,43800
M           ,67248
M           ,42000
M           ,69950.04
M           ,54000
F         ,44400
M           ,45600
F         ,42000
F         ,54996
M           ,33600
M           ,53424
M           ,42000
M           ,44400
M           ,43800
F         ,44400
F         ,54996
M           ,42000
M           ,57000
F         ,42000
M           ,45600
M           ,57000
M           ,44388
M           ,72384
F         ,72000
F         ,44700
F         ,75000
M           ,43800
F         ,47419.44
M           ,75600
F         ,55620
M           ,42000
M           ,55128
M           ,57000
M           ,42000
M           ,55200
F         ,42000
F         ,45600
F         ,43800
M           ,42000
F         ,52650
F         ,50400
F         ,42000
M           ,45600
M           ,47400
M           ,44400
M           ,44400
M           ,42000
F         ,46800
F         ,62040
F         ,53424
M           ,44400
M           ,45600
M           ,27360
M           ,77400
F         ,54000
F         ,49200
M           ,53424
M           ,46800
F         ,42000
M           ,54000
F         ,45000
M           ,42000
M           ,60000
M           ,42000
F         ,45600
M           ,70000.08
F         ,44400
M           ,46800
M           ,46800
F         ,42000
M           ,42000
M           ,43800
M           ,42000
M           ,45600
F         ,58800
M           ,43800
F         ,84000
M           ,43800
M           ,64918.92
F         ,59438.88
F         ,87721.56
F         ,18155.4
F         ,43040.64
M           ,43040.64
M           ,67855.2
M           ,43573.68
F         ,50317.8
M           ,69540.96
M           ,69540.96
M           ,84390.96
M           ,53241.96
F         ,60195.48
M           ,85776.96
F         ,43040.64
F         ,43040.64
M           ,89073.96
F         ,36310.92
M           ,79323
M           ,77638.92
F         ,50317.8
M           ,37884
F         ,36310.92
F         ,43040.64
M           ,71340
F         ,36310.92
F         ,40509
M           ,49287.72
F         ,35160.36
F         ,36310.92
F         ,29460.48
F         ,36310.92
M           ,72711
M           ,12029.88
F         ,36310.92
M           ,72612.96
M           ,64918.92
F         ,36310.92
M           ,80820.96
M           ,36310.92
M           ,79323
M           ,43040.64
F         ,75924
F         ,36310.92
F         ,67650
M           ,79323
M           ,34338.36
M           ,86494.92
M           ,69540.96
F         ,42179.28
M           ,86494.92
M           ,53241.96
M           ,66514.2
M           ,198164.04
F         ,43040.64
M           ,95191.92
M           ,92859.96
M           ,72612.96
M           ,67580.04
M           ,44082
M           ,86494.92
F         ,52065.96
F         ,34133.4
F         ,64887
M           ,43040.64
F         ,36355.68
M           ,59438.88
M           ,36310.92
F         ,50317.8
M           ,64918.92
M           ,64918.92
M           ,36310.92
M           ,64918.92
F         ,50317.8
M           ,72612.96
M           ,53241.96
F         ,24059.64
M           ,75967.92
M           ,56594.28
F         ,43040.64
M           ,84390.96
F         ,59438.88
M           ,64887
F         ,44880.24
F         ,29460.48
F         ,107682
F         ,43040.64
F         ,59891.16
M           ,58036.92
F         ,34133.4
M           ,84390.96
F         ,70742.04
F         ,58277.4
M           ,36310.92
M           ,35641.56
F         ,36310.92
M           ,39530.16
M           ,75967.92
M           ,64918.92
M           ,80820.96
F         ,36310.92
M           ,53241.96
M           ,23473.08
M           ,36310.92
M           ,180427.08
M           ,64918.92
F         ,36310.92
F         ,59438.88
M           ,72711
M           ,64918.92
F         ,75967.92
F         ,31119
M           ,40509
M           ,44880.24
M           ,36310.92
M           ,49628.16
F         ,40509
M           ,64918.92
M           ,44082
M           ,64918.92
M           ,69540.96
M           ,72711
M           ,86494.92
F         ,43040.64
F         ,46033.92
M           ,80820.96
M           ,64918.92
F         ,43040.64
F         ,30175.08
F         ,36310.92
F         ,37551.24
F         ,59387.64
M           ,95191.92
M           ,75967.92
F         ,43040.64
M           ,64918.92
M           ,36310.92
M           ,72612.96
M           ,75924
M           ,64918.92
M           ,36310.92
M           ,53241.96
M           ,80820.96
M           ,53241.96
M           ,53241.96
M           ,77638.92
F         ,59439
F         ,53381.16
M           ,57600
F         ,43040.64
F         ,56815.92
M           ,36310.92
F         ,41445.48
M           ,69540.96
M           ,83454.48
M           ,36310.92
M           ,71037.12
F         ,36310.92
F         ,43040.64
M           ,43040.64
F         ,71037.12
F         ,88580.88
M           ,80820.96
M           ,89073.96
F         ,51804.24
M           ,64887
F         ,47444.28
M           ,79323
F         ,43040.64
M           ,64918.92
M           ,77638.92
M           ,81740.88
F         ,43040.64
M           ,52904.16
F         ,35160.36
M           ,62115
F         ,43040.64
F         ,43040.64
M           ,55980.12
F         ,40477.44
M           ,53241.96
F         ,36310.92
F         ,36310.92
F         ,50317.8
F         ,81600
M           ,85776.96
F         ,55350
M           ,92859.96
M           ,86494.92
M           ,72711
F         ,36310.92
M           ,44880.24
F         ,38130
F         ,54999.96
M           ,44082
M           ,79323
F         ,36310.92
F         ,66514.2
M           ,72711
F         ,43263.6
F         ,56991.96
M           ,56991.96
M           ,72711
M           ,53241.96
F         ,36310.92
M           ,56815.92
M           ,92859.96
M           ,62115
F         ,44880.24
M           ,75924
M           ,36310.92
F         ,75924
M           ,72711
M           ,18155.4
M           ,69540.96
F         ,57395.76
M           ,53241.96
M           ,33825
M           ,43040.64
M           ,33578.76
F         ,36310.92
M           ,50317.8
F         ,50317.8
F         ,35160.36
F         ,36310.92
M           ,64918.92
M           ,64918.92
M           ,53241.96
F         ,43040.64
F         ,75924
M           ,64918.92
M           ,32844.12
F         ,53241.96
M           ,44880.24
M           ,72711
F         ,60281.64
M           ,69540.96
F         ,56802.96
M           ,79323
M           ,76309.2
M           ,95190.12
F         ,43040.64
F         ,138619.44
M           ,72612.96
F         ,56077.92
M           ,89073.96
M           ,79323
M           ,84390.96
F         ,43040.64
M           ,84390.96
F         ,36310.92
F         ,35160.36
M           ,64918.92
M           ,53241.96
F         ,75924
F         ,36310.92
M           ,64918.92
F         ,43040.64
M           ,64918.92
M           ,64918.92
F         ,31980.96
F         ,36310.92
M           ,58975.8
M           ,72612.96
M           ,75967.92
F         ,36310.92
M           ,86494.92
F         ,43263.6
M           ,75967.92
M           ,36310.92
F         ,35160.36
F         ,43040.64
M           ,75967.92
F         ,43040.64
M           ,84390.96
F         ,43040.64
F         ,63000
F         ,79323
F         ,30174.96
M           ,36310.92
F         ,47444.28
F         ,35160.36
F         ,53241.96
F         ,37260
M           ,75837.12
F         ,36310.92
M           ,57854.64
M           ,43040.64
M           ,40980
F         ,64918.92
M           ,43040.64
M           ,69540.96
M           ,77638.92
M           ,64918.92
M           ,53241.96
F         ,43040.64
M           ,53241.96
M           ,84390.96
M           ,64918.92
F         ,36310.92
M           ,84390.96
F         ,54999.96
M           ,64918.92
M           ,75967.92
F         ,59438.88
M           ,92250
F         ,36310.92
M           ,52065.96
M           ,72711
M           ,43040.64
F         ,44944.92
M           ,64918.92
F         ,43040.64
M           ,43040.64
M           ,43040.64
F         ,28741.92
F         ,43040.64
M           ,79323
F         ,95190.12
F         ,77484
M           ,53241.96
F         ,44082
M           ,64918.92
F         ,51804.24
M           ,72612.96
M           ,62115
M           ,64918.92
F         ,53241.96
M           ,84390.96
M           ,79323
F         ,50317.8
F         ,43040.64
M           ,84390.96
M           ,53241.96
F         ,65878.8
M           ,36957.12
F         ,64887
F         ,50317.8
F         ,30174.96
M           ,36310.92
M           ,92859.96
M           ,84390.96
M           ,69540.96
F         ,60873.96
F         ,69906.84
F         ,43040.64
M           ,30929.28
M           ,64918.92
M           ,62565.36
M           ,41000.04
M           ,59438.88
M           ,36310.92
M           ,75967.92
M           ,50317.8
M           ,86494.92
F         ,50317.8
F         ,36685.56
M           ,64918.92
F         ,29460.48
M           ,64918.92
M           ,44880.24
F         ,47444.28
F         ,52507.44
F         ,198164.04
F         ,37260
F         ,78000
M           ,80820.96
F         ,50317.8
M           ,62115
M           ,53241.96
F         ,43040.64
M           ,75967.92
M           ,95191.92
M           ,86494.92
M           ,24059.64
M           ,79323
F         ,50317.8
F         ,52065.96
M           ,86494.92
M           ,56991.96
M           ,95191.92
M           ,86494.92
F         ,43040.64
M           ,36310.92
F         ,52065.96
F         ,43040.64
M           ,64918.92
M           ,69540.96
M           ,24059.64
M           ,77638.92
F         ,50317.8
M           ,64918.92
M           ,75967.92
M           ,53241.96
F         ,36310.92
F         ,53241.96
F         ,121511.76
F         ,71037.12
M           ,39534.6
M           ,40980
M           ,52065.96
M           ,64918.92
F         ,36310.92
F         ,36310.92
M           ,84390.96
M           ,64918.92
M           ,62909.64
F         ,87740.88
M           ,198164.04
M           ,107682
F         ,36310.92
F         ,64918.92
F         ,50317.8
F         ,71037.12
F         ,47860.56
M           ,53241.96
M           ,92859.96
F         ,35160.36
M           ,86494.92
M           ,64575
M           ,53241.96
M           ,72612.96
M           ,72612.96
M           ,198164.04
